x,y,worst_lower,worst_upper,normal_lower,no_signal_upper,worst_theta,safe_margin,calls,interval_splits,angle_bound_complete
630,10,432.7634519746732,1500,432.7634519746732,0,6.25906703263305,374.9178415910766,91,0,0
630,15,415.2724338190772,1500,415.2724338190772,0,6.218423173118627,374.817164837773,91,0,0
630,20,392.7454817177334,1500,392.7454817177334,0,6.212689013709046,374.6765237080874,63,0,0
630,25,372.5605152443055,1500,372.5605152443055,0,6.206958343581464,374.4959451593267,63,0,0
630,30,354.3723067514817,1500,354.3723067514817,0,6.201231535581024,374.2754637682442,63,0,0
630,40,322.9141463292531,1500,322.9141463292531,0,6.189790989622188,373.7149686579683,63,0,0
630,50,296.6671710790363,1500,296.6671710790363,0,6.178370325734602,372.9954659464308,63,0,0
655,0,420.1180785102529,1500,420.1180785102529,0,6.269659532299496,349.9992326183564,175,0,0
655,1,420.1284172167657,1500,420.1284172167657,0,6.26847695988015,349.9983291400014,175,0,0
655,2,420.1399346652914,1500,420.1399346652914,0,6.267294477439607,349.9958872092774,175,0,0
